"Contaminant","G","AC_la","Shape","Size..µm.","Surface_area","Volume","Microplastic","Total_surface_area","size_assigned","TMC_rsd_0","TMC_rsd_0n","TMC_rsd_10","TMC_rsd_50","TMC_rsd_100","TMC_rsd_200"
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.2",100,30993.6377269842,513019.932064746,"PC",48935421393.508,"100",2467.00941015343,2467.00941015343,2442.59063688674,1974.12080842295,1238.35949020654,515.244686067549
"BPA",6e-05,0.19,"Oblate Spheroid e=0.2",13.2,540.033143754972,1179.92942711109,"PC",370722889344.758,"100",3777.23928827319,3777.23928827319,3739.85169284094,3022.57731433179,1896.05280797174,788.891385366582
"Bromine",0.01,13,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PC",4893542139.3508,"100",121.4527709614,121.452770961399,120.250615969809,97.1874859531298,60.9653902870912,25.3658922371716
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.2",3000,27894273.9542857,13851538165.7481,"PC",1631180713.11693,"100",1879626.21725975,1879626.21725975,1861021.43762799,1504092.04451272,943511.992538316,392567.37986099
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.2",500,774840.943174604,64127491.5080932,"PC",9787084278.7016,"100",20866335.0990951,20866335.0990951,20659797.457368,16697409.4809342,10474230.049324,4358016.72797222
"Manganese",0.12,0.13,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PC",2446771069.6754,"100",72871.6625768397,72871.6625768397,72150.3695818852,58312.4915718779,36579.2341722547,15219.535342303
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.2",4.5,62.7621163971429,46.7489413093999,"PC",1087453808744.62,"100",56138169.6888247,56138169.6888246,55582506.937156,44922215.7294466,28179558.1771444,11724679.0785149
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PC",108745380874.462,"100",13190.3594193667,13190.3594193667,13059.7995623017,10555.0318913174,6621.13678974257,2754.85880604203
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PC",108745380874.462,"100",806582.897827941,806582.89782794,798599.237602816,645434.134043774,404878.70944173,168458.032737283
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PC",3653730723.53091,"100",1372291.36500856,1372291.36500856,1358708.25034346,1098118.60779001,688846.190935749,286608.486634459
"Antimony",0.004,27.8,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PC",7307461447.06181,"100",51.0651711117052,51.0651711117052,50.5597215458992,40.8627613913423,25.6330758224665,10.6651632337308
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.9",100,20590.0279749479,228231.414979461,"PC",73074614470.6181,"100",5545.35842541174,5545.35842541174,5490.46976162499,4437.44049484108,2783.59182759597,1158.17006991295
"BPA",6e-05,0.19,"Oblate Spheroid e=0.9",13.2,358.760647435492,524.924951047482,"PC",553595564171.349,"100",8490.50093842946,8490.50093842945,8406.46087904305,6794.16726482845,4261.9587790943,1773.27474819208
"Bromine",0.01,13,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PC",7307461447.06181,"100",273.002260943347,273.002260943347,270.300049803076,218.458608976792,137.038366897032,57.0176034418685
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.9",3000,18531025.1774531,6162248204.44546,"PC",2435820482.35394,"100",4225034.9907899,4225034.99078989,4183215.05647618,3380907.04368844,2120831.86864454,882415.29136225
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.9",500,514750.699373698,28528926.8724327,"PC",14614922894.1236,"100",46903472.1444517,46903472.1444517,46439215.6049338,37532536.3440303,23544036.6034549,9795975.92173071
"Manganese",0.12,0.13,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PC",3653730723.53091,"100",163801.356566008,163801.356566008,162180.029881846,131075.165386075,82223.0201382193,34210.5620651211
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.9",4.5,41.6948066492695,20.7975876900034,"PC",1623880321569.29,"100",126187711.724925,126187711.724925,124938689.686755,100976423.704828,63342178.4768504,26354803.3686859
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.9",45,4169.48066492695,20797.5876900034,"PC",162388032156.929,"100",29649.3683564203,29649.3683564203,29355.8951331662,23725.6634644803,14883.0306571547,6192.38800955965
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.9",45,4169.48066492695,20797.5876900034,"PC",162388032156.929,"100",1813041.83512823,1813041.83512823,1795096.11618901,1450810.6854142,910088.771219115,378660.967940889
"Aluminum",2.9,0.375,"Sphere",2000,12566370.6143592,4188790204.78639,"PVC",2.16e+09,"100",531704.833881404,531704.833881404,526441.951733522,425474.492389174,266898.749682831,111048.660408954
"Antimony",0.004,27.8,"Sphere",1000,3141592.65358979,523598775.598299,"PVC",4.32e+09,"100",19.7855929253809,19.7855929253809,19.5897526073005,15.8325908852335,9.93173218864417,4.13229944463982
"Arsenic",0.003,1.92,"Sphere",100,31415.9265358979,523598.775598299,"PVC",4.32e+10,"100",2148.59173174059,2148.59173174059,2127.32469719904,1719.32041644332,1078.52404236058,448.741892816355
"BPA",6e-05,0.19,"Sphere",13.2,547.391103961485,1204.26042871527,"PVC",327272727272.727,"100",3289.70982850233,3289.70982850233,3257.14786174015,2632.45231225772,1651.32867729849,687.068926800161
"Bromine",0.01,13,"Sphere",1000,3141592.65358979,523598775.598299,"PVC",4.32e+09,"100",105.77682371646,105.77682371646,104.729831246722,84.6434666556713,53.09656823929,22.0919085694206
"Cadmium",0.005,0.00014,"Sphere",3000,28274333.8823081,14137166941.1541,"PVC",1.44e+09,"100",1637022.27180235,1637022.27180235,1620818.81691355,1309958.41252825,821732.603703298,341898.585002937
"Chromium",0.03,0.000454,"Sphere",500,785398.163397448,65449846.9497873,"PVC",8.64e+09,"100",18173110.6825636,18173110.6825635,17993230.9190403,14542269.6016352,9122317.89133176,3795526.14188283
"Manganese",0.12,0.13,"Sphere",2000,12566370.6143592,4188790204.78639,"PVC",2.16e+09,"100",63466.0942298758,63466.0942298758,62837.8987480331,50786.0799934028,31857.940943574,13255.1451416523
"Mercury",0.002,0.00125,"Sphere",4.5,63.6172512351933,47.712938426395,"PVC",9.6e+11,"100",48892398.5178303,48892398.5178302,48408455.3318181,39124091.254177,24542413.7639385,10211371.0720877
"Propanolol",5e-04,0.133,"Sphere",45,6361.72512351933,47712.938426395,"PVC",9.6e+10,"100",11487.8755915955,11487.8755915954,11374.1671362355,9192.69061423331,5766.54458739156,2399.28831581009
"Sulfamethoxazole",0.02,0.087,"Sphere",45,6361.72512351933,47712.938426395,"PVC",9.6e+10,"100",702476.990198711,702476.99019871,695523.783503134,562127.747904842,352620.887412909,146715.101610456
"Aluminum",2.9,0.375,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PVC",1.512e+09,"100",35446.9889254269,35446.9889254269,35096.1301155681,28364.9661592783,17793.2499788554,7403.24402726361
"Antimony",0.004,27.8,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PVC",3.024e+09,"100",1.31903952835873,1.31903952835873,1.30598350715337,1.05550605901557,0.662115479242945,0.275486629642655
"Arsenic",0.003,1.92,"Long Cylinder",100,329867.228626928,7853981.63397448,"PVC",3.024e+10,"100",143.239448782706,143.239448782706,141.821646479936,114.621361096222,71.9016028240385,29.916126187757
"BPA",6e-05,0.19,"Long Cylinder",13.2,5747.6065915956,18063.906430729,"PVC",229090909090.909,"100",219.313988566822,219.313988566822,217.143190782677,175.496820817181,110.088578486566,45.8045951200108
"Bromine",0.01,13,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PVC",3.024e+09,"100",7.05178824776398,7.05178824776397,6.98198874978146,5.64289777704475,3.53977121595267,1.47279390462804
"Cadmium",0.005,0.00014,"Long Cylinder",3000,296880505.764235,212057504117.311,"PVC",1.008e+09,"100",109134.818120157,109134.818120157,108054.587794237,87330.5608352164,54782.1735802198,22793.2390001958
"Chromium",0.03,0.000454,"Long Cylinder",500,8246680.71567321,981747704.24681,"PVC",6.048e+09,"100",1211540.7121709,1211540.7121709,1199548.72793602,969484.640109011,608154.526088784,253035.076125522
"Manganese",0.12,0.13,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PVC",1.512e+09,"100",4231.07294865839,4231.07294865838,4189.19324986887,3385.73866622685,2123.8627295716,883.676342776823
